id;nome;cpf;cnpj;email;tipo_user;ativo
1;briefly;yuck pish;aged;Hugo.Nogueira15@live.com;COLABORADOR;N
2;athwart;wasabi;phooey;Rafael92@yahoo.com;ENTIDADE;S
3;gosh worth hmph;hm gently greedily;envious kookily;Elisio_Batista@yahoo.com;COLABORADOR;S
4;sedately midst;icky yahoo atop;boohoo attentive;DaviLucca.Costa@hotmail.com;ENTIDADE;S
5;tender into;who;bony;Bruna.Braga34@bol.com.br;ENTIDADE;N
6;and woefully;boil yet woot;boo;Joana30@bol.com.br;COLABORADOR;S
7;dueling jealously;commonly open;psst;MariaAlice_Oliveira42@live.com;ENTIDADE;N
8;hence;whenever;cub plus indicator;Warley.Xavier@yahoo.com;ENTIDADE;N
9;after;furiously;sentimental;Isabel92@bol.com.br;ENTIDADE;S
10;leash modulo ha;needily;pish enjoin sputter;Gubio.Costa90@yahoo.com;ENTIDADE;N
